call,line,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
,b,daxeth,machesmachoh,vastnalpoh,gemas,nach,,,,,,,,,,,,,,,
,c,loscheph,daphmech,noth,chales,zunech,maschol,,,,,,,,,,,,,,
,d,lu,gasnaph,malces,gethcaph,madena,oah,,,,,,,,,,,,,,
,e,gemsah,pa,luseth,iorbastamax,elcaph,rusam,,,,,,,,,,,,,,
,f,phanes,domsath,gel,pachadora,amaxchano,,,,,,,,,,,,,,,
,g,lumageno,armachaphamelon,adro,micho,,,,,,,,,,,,,,,,
,h,natath,iamesebachola,donadocha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
43,a,asmar,gehotha,galseph,aschandas,vnascor,satquama,,,,,,,,,,,,,,
,b,latquataf,hun,ganses,luximagelo,asquapa,lochath,,,,,,,,,,,,,,
,c,anses,dosam,vathne,galsador,ansech,godamah,,,,,,,,,,,,,,
,d,vonsepalescoh,admacah,lu,zampha,oh,adma,,,,,,,,,,,,,,
,e,zemblodarma,varmiga,zuna,thotob,amphichanosa,,,,,,,,,,,,,,,
,f,gemichanadabah,vademado,vaselapagedo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
44,a,amascabalonocha,anodah,aduradamah,gonadephageno,,,,,,,,,,,,,,,,
,b,vnachapesmacho,geminadochapamica,vuamsapalage,,,,,,,,,,,,,,,,,
,c,vocorthmoth,achepasmacapha,emcanidobah,gedoah,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
45,a,nostoah,geuamna,da,oscha,lus,palpal,medna,,,,,,,,,,,,,
,b,gorumbalogeph,acapnapadapha,volsema,gonogedocha,,,,,,,,,,,,,,,,
,c,ambusabaloh,gemusacha,vamihopha,zumnegadaphagepha,,,,,,,,,,,,,,,,
,d,iurehoh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
46,a,zemnoda,amni,fa,chebseth,vsangrada,bosadoma,,,,,,,,,,,,,,
,b,zumacoh,aphinabacha,buzadbazu,amachapadomicha,,,,,,,,,,,,,,,,
,c,zumanepasso,na,vuamanabadoth,,,,,,,,,,,,,,,,,
,d,zumblegampha,zumblecaphamacha,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
47,a,zudneph,arni,ioh,pan,zedco,laniga,nahad,,,,,,,,,,,,,
,b,lebale,nochas,arni,cans,losmo,iana,olna,dax,,,,,,,,,,,,
,c,zemblocha,zedman,pusatha,vama,mah,oxex,parzu,,,,,,,,,,,,,
,d,drana,anza,pasel,lumah,coxech,adamax,gonboh,,,,,,,,,,,,,
,e,alze,dah,lusache,asneph,gedma,noxdruma,,,,,,,,,,,,,,
,f,vamcaphnapham,astichel,ratrugem,abnath,lonsas,,,,,,,,,,,,,,,
,g,masqueth,tauinar,tadna,gehodod,gaphramsana,,,,,,,,,,,,,,,
,h,asclor,drusaxpa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
48,a,amgedpha,lazad,ampha,ladmaachel,galdamichael,,,,,,,,,,,,,,,
,b,vnza,dedma,luz,zaceph,pilathob,gano,,,,,,,,,,,,,,
,c,vama,zunasch,zemblagen,onman,zuth,catas,,,,,,,,,,,,,,
,d,max,ordru,iadse,lamad,caphicha,aschal,,,,,,,,,,,,,,
,e,luz,ampna,zodminada,excaphanog,salgemphane,,,,,,,,,,,,,,,
,f,om,vrza,lat,quartphe,lasque,urad,,,,,,,,,,,,,,
,g,oxmana,gamges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49,a,arney,vah,nol,gadeth,adney,ox,vals,nath,gemseh,ah,,,,,,,,,,
,b,orza,val,gemah,oh,gedva,on,zembah,nohhad,vomfah,,,,,,,,,,,
,c,olden,ampha,nols,admacha,nonsah,vamfas,ornad,,,,,,,,,,,,,
,d,alphol,andax,orzadah,vos,ansoh,hanzah,voh,,,,,,,,,,,,,
,e,adma,ioha,notma,goth,vamsed,adges,onseple,ondemax,,,,,,,,,,,,
,f,orzan,vnfa,onmah,vndabra,gonsah,gols,nahad,na,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,a,oxar,varmol,pan,sampas,os,al,pans,orney,andsu,,,,,,,,,,,
,b,alsaph,oucha,cosdam,onzagoles,natmatatp,max,olnah,,,,,,,,,,,,,
,c,von,ganse,pacath,olnoh,vor,nasquah,loth,adnay,,,,,,,,,,,,
,d,nonsah,oxansah,vals,nodax,vonqueth,lan,sandquat,,,,,,,,,,,,,
,e,ox,ardanh,onzabel,ormach,douquin,astmax,,,,,,,,,,,,,,
,f,arpagels,ontipodah,omvah,nosch,als,mantquts,,,,,,,,,,,,,,
,g,armad,notgals,vantantquah,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2,a,ondroh,als,vrh,panchah,orn,sandvah,loh,andah ,nol,,,,,,,,,,,
,b,pan,sedmah,zugeh,als,abmicadampaget,ordomph,,,,,,,,,,,,,,
,c,axah,gethol,vav,axel,anthath,gorsan,vax,parsah,,,,,,,,,,,,
,d,vort,lanq,andamsah,getheol,vrchan,navadah,,,,,,,,,,,,,,
,e,oxembles,armax,lothar,vos,antath,orse,vax,,,,,,,,,,,,,
,f,alnoth,other,mals,olnah,gethom,vardamach,alls,,,,,,,,,,,,,
,g,orgeth,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3,a,or,pasquah,omzadah,vorts,angenodah,varsaua,,,,,,,,,,,,,,
,b,onch,aldumph,anget,onsaual,galta,oth,aneth,ax,pa,,,,,,,,,,,
,c,gesne,ouad,ax,orneh,aldumbages,voscomph,alze,ax,,,,,,,,,,,,
,d,orzad,andah,gost,astoh,nadah,vortes,astmah,notesma,,,,,,,,,,,,
,e,goth,nathad,omza,geth,alteth,ox,degath,onda,voxa,,,,,,,,,,,
,f,gemnache,adna,dansa,als,alst,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,a,arsah,orthath,ols,gast,ardoh,max,varmah,doth,novamq,,,,,,,,,,,
,b,lath,adnab,gothan,ardrinoh,astomagel,arpaget,asteth,,,,,,,,,,,,,
,c,arde,obza,ols,na,gemnapalabamida,orsat,nahah,,,,,,,,,,,,,
,d,odmazen,andulphel,ox,ambrassah,oxah,geth,nor,vamfah,,,,,,,,,,,,
,e,genoh,daqueth,als,astna,oh,tatoh,alsah,goth,necor,andeoh,,,,,,,,,,
,f,neo,alda,nah,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,a,vanlah,oha,demagens,on,sunfah,paphah,olemneh,ozadcha,,,,,,,,,,,,
,b,lax,ornah,vor,adme,ox,vastmah,gu,labazna,gamnach,,,,,,,,,,,
,c,asthmah,ochado,landridah,vons,sah,lugho,iahat,nabscham,,,,,,,,,,,,
,d,nohads,vandispa,rossamod,androch,alphoh,zumbloh,asnah,,,,,,,,,,,,,
,e,gonfageph,aldeh,lo,dah,vax,orh,asmo,gad,au,dansequa,,,,,,,,,,
,f,deo,dath,vax,nograh,vor,segbat,mon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
6,a,arni,olbah,galpa,lohanaha,gaupumagensah,osso,var,se,darsah,,,,,,,,,,,
,b,goho,albumiclamacapaloth,ieho,nad,veslah,vors,ardno,,,,,,,,,,,,,
,c,inmony,asquam,rath,als,vasmah,genda,loggahah,astmu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7,a,arnah,notah,lax,vart,luhoh,desmaph,ol,capraminacah,,,,,,,,,,,,
,b,oxandanvah,gemneloriplitonpha,accamplahnostapha,,,,,,,,,,,,,,,,,
,c,ormaxadahahar,orzemblizadmah,panchefelogedoh,,,,,,,,,,,,,,,,,
,d,aschah,olmah,ledoh,vaxma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8,a,gans,na,cap,lan,seda,ax,nor,vorza,vo,laspral,onsa,gem,,,,,,,,
,b,gemah,noph,gazo,na,von,santfa,nostradg,ansel,vnsa,pah,,,,,,,,,,
,c,vort,velsa,or,alda,viax,nor,adroh,semneh,ols,vandesqual,,,,,,,,,,
,d,olzah,nolpax,pahah,lothor,ax,ru,vansar,glimnaph,gath,,,,,,,,,,,
,e,ardot,ardri,axa,noh,gaga,leth,arde,maxa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
9,a,corsal,mabah,noplich,alps,arsod,vord,vanfax,oriox,,,,,,,,,,,,
,b,nabat,gemnepoh,laphet,ioda,nat,vombal,nams,ar,,,,,,,,,,,,
,c,geth,alloah,nephirt,lauda,noxa,voxtaf,ardno,,,,,,,,,,,,,
,d,androch,labmageh,ossu,allmaglo,ardot,nalbar,vanse,,,,,,,,,,,,,
,e,dar,to,vorts,parsan,vr,vnrah,vor,gadeth,leth,orze,,,,,,,,,,
,f,nax,vomreh,agelpha,legar,or,nembla,ar,va,su,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10,a,zanchumachaseph,olzaminoah,valseburaah,nodaliganax,,,,,,,,,,,,,,,,
,b,orsapnago,darsagnapha,nobsiblith,armipyth,,,,,,,,,,,,,,,,
,c,arsepolonitantons,,,,,,,,,,,,,,,,,,,
,d,iembulsamar,leboge,axpar,ornaza,oldaxardacoah,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11,a,semno,ah,al,chi,do,a,cha,da,selpaginodah,adahubamicanoh,,,,,,,,,,
,b,dam,pha,gli,as,cha,nor,oxompaminapho,lemp,na,gon,sa,pha,,,,,,,,
,c,ne,co,al,pha,as,pa,ge,mo,cal,na,tu,ra,ge,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12,a,sen,gal,se,quar,rus,fa,glan,sux,taft,ormaca,,,,,,,,,,
,b,ox,i ,no,dal,ge,brah,nop,tar,na,gel,vom,na,ches,pal,ma,cax,,,,
,c,arsep,as,don,sadg,asc,lan,fan,che,dah,nor,vi,car,max,coh,,,,,,
,d,zum,bla,zanpha,ad,geh,do,ca,ba,ah,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
13,a,ar,gem,na,ca,pal,fax,or,nido,hab,cas,pigan,alpuh,,,,,,,,
,b,gagah,loth,ral,sa,bra,dan,go,sa,pax,volsan,ques,tan,,,,,,,,
,c,ondapha,opicab,or,zy,la,pa,achrapa,males,,,,,,,,,,,,
,d,ad,ma,car,pah,oxalps,on,da,pa,gem,ha,de,vor,guse,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
14,a,lat,gans,sa,par,sat,lasteah,lor,adah,noxax,ardephis,,,,,,,,,,
,b,nonson,andoh,gvmzi,vor,sab,liboh,ad,ni,sa,pa,loth,gaho,lar,,,,,,,
,c,va,noxa,oho,lan,sempah,noxa,vriah,sephah,lusaz,,,,,,,,,,,
,d,odgalsax,nottaph,ax,vrnoc,arpos,arta,zem,zubah,,,,,,,,,,,,
,e,lothor,gas,lubah,vom,za,da,phi,car,no,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15,a,alsotaphe,ondah,vor,ban,sanphar,pa,loth,agno,iam,,,,,,,,,,,
,b,nesorh,am,algors,vrrabah,geuseh,alde,ox,nah,vors,,,,,,,,,,,
,c,purblox,amphicab,nostrohh,admag,or,napsu,asmo,lon,,,,,,,,,,,,
,d,gamphi,arbel,nof,amphi,on,saubloth,aschi,nur,laffax,,,,,,,,,,,
,e,las,doxa,pra,gem,a,sestrox,amphi,nax,var,sembbh,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
16,a,angesel,oxapacad,onz,adq,ochadah,olzah,vor,nah,,,,,,,,,,,,
,b,orpogographel,al,sa,gem,ua,ca,pi,coh,vl,da,pa,por,sah,,,,,,,
,c,naxor,vonsa,rons,vrbanf,lab,dun,zaph,algadef,,,,,,,,,,,,
,d,loh,gem,vortaoh,amph,ahoha,za,vaxorza,leph,oxor,,,,,,,,,,,
,e,neoh,ah,va,dunaca,pi,ca,lodox,ard,nah,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
17,a,iahod,vox,ar,pi,cah,lot,tar,pi,ges,nol,zim,na,plah,,,,,,,
,b,ge,o,gra,plit,ne,go,ah,va,lu,gan,zed,am,phi,la,doh,,,,,
,c,zan,veh,al,nex,oh,al,pha,ze,goth,gedoth,axor,van,zeba,,,,,,,
,d,al,ca,pa,,,,,,,,,,,,,,,,,
,e,luma,ges,ard,de,oh,ah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
18,a,onchas,lagod,van,sebageh,oxangam,pah,gos,dah,manzeh,ocondah,,,,,,,,,,
,b,vardol,sebagh,ol,mandan,na,obal,sepaget,otoxen,narvah,,,,,,,,,,,
,c,lubatan,ansem,nofet,au,naba,notoh,ax,arsah,mans,vstgam,,,,,,,,,,
,d,pahod,pah,mal,sednah,gestons,amphes,al,manso,gapalebaton,,,,,,,,,,,
,e,arra,nax,vamfes,amah,dot,agen,nalphat,ar,zamne,oh,sages,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
19,a,nax,lerua,nath,zembloh,axpadabamah,sanzapas,,,,,,,,,,,,,,
,b,gunzanquah,ona,var,demneh,gah,lod,vmnah,doxa,val,tarquat,,,,,,,,,,
,c,mans,ol,gem,nageph,au,zanbat,vx,anzach,al,pamboha,,,,,,,,,,
,d,naxtath,ol,nada,vam,nonsal,aua,nal,gedot,vorx,alge,lah,,,,,,,,,
,e,despa,gu,prominabamigah,olpaz,ord,gamnat,lem,paz,,,,,,,,,,,,
,f,cath,normadah,on,demq,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
20,a,laffah,ie,ogg,dalseph,abrimanadg,oldomph,ledothnar,,,,,,,,,,,,,
,b,ymnachar,onze,vam,sepno,voxauaret,ol,zantqur,amph,,,,,,,,,,,,
,c,nas,sages,om,nartal,vor,miscam,bemcax,lappad,gesso,,,,,,,,,,,
,d,drux,capgol,ass,letnar,vom,,,,,,,,,,,,,,,
,e,sausah,or,gamprida,ornat,vol,asmd,onza,duh,get,hansa,,,,,,,,,,
,f,gorh,hubra,galsaropah,nequax,dap,gemno,ab,pnidah,,,,,,,,,,,,
,g,noxd,lumbam,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
21,a,al,gethroz,ax,arvan,oh,zempal,guh,arvax,no,demnat,ar,,,,,,,,,
,b,pambals,nop,nonsal,geh,axor,pam,vartop,ab,vbrah,cardax,,,,,,,,,,
,c,lon,songes,au,dumax,ar,nephar,lu,gemne,om,asda,,,,,,,,,,
,d,vorts,vmrod,val,manqh,noh,sam,naga,vrbrast,lurvandax,,,,,,,,,,,
,e,vpplod,dam,zurtax,loa,an,avarn,nar,gemplicabnadah,oxa,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22,a,nooa,babna,ampha,dum,nonsap,vrs,daluah,marsaqual,orma,,,,,,,,,,,
,b,nabath,sabaothal,netma,vol,sempra,isch,laue,ondeh,noh,,,,,,,,,,,
,c,semblax,or,mansa,macapal,vngenel,vorsepax,vrsabada,noxanquah,,,,,,,,,,,,
,d,vndalph,asmoh,vxa,na,gaspar,vmpaxal,lapproh,iadd,nomval,,,,,,,,,,,
,e,vp,setquam,nol,astna,vors,vrdem,gnasplat,bef,affafefafed,,,,,,,,,,,
,f,volls,laydam,ovs,nac,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
23,a,cedah,or,manveh,geh,axax,nolsp,damva,dor,demgoh,apoxan,,,,,,,,,,
,b,subliganaxnarod,orchal,vamnad,vez,gemelhox,ar,drulalpa,,,,,,,,,,,,,
,c,ax,vr,samfah,oladmax,vr,sappoh,luah,vr,pabmax,luro,,,,,,,,,,
,d,lam,faxno,dem,vombres,adusx,or,sembal,on,vamne,,,,,,,,,,,
,e,oh,lemne,val,se,quap,vn,nap,nastosm,dah,voz,mazaz,,,,,,,,,
,f,lumato,games,on,neda,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24,a,voh,gemse,ax,pah,losquan,nof,afma,dol,vamna,vn,samses,,,,,,,,,
,b,oh,set,quamsa,ol,danfa,dot,santa,on,anma,ol,subracah,,,,,,,,,
,c,babalad,vansag,olso,pas,gonred,vorn,chechust,axaroh,,,,,,,,,,,,
,d,rugho,am,nadom,val,sequot,ne,texpa,vors,vrs,al,pam,,,,,,,,,
,e,vans,na,tomvamal,ansipamals,notems,anque,arxe,al,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
25,a,pangeff,offd,ne,pamfah,aliboh,a,nostafages,almased,vrmast,,,,,,,,,,,
,b,geus,vrmax,au,semblox,satq,quayntah,luzez,arne,noh,,,,,,,,,,,
,c,pamna,sams,bantes,orn,volsax,vors,vnisapa,monsel,dah,,,,,,,,,,,
,d,nox,ah,pah,vomreb,doth,dansequox,anzazed,onz,anfal,,,,,,,,,,,
,e,nom,vamreh,volts,vrnacapacapah,noshan,yalt,gelfay,,,,,,,,,,,,,
,f,nor,sentqbt,onbanzar,luntaf,val,sentepax,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
26,a,ornisa,nor,pampals,anz,alpah,nox,noxa,gendah,von,,,,,,,,,,,
,b,gamne,dah,vors,ad,na,lepnazu,acheldaph,var,honza,,,,,,,,,,,
,c,gune,alsaph,nal,vomsan,vns,alpd,a,domph,ar,zemnip,,,,,,,,,,
,d,ans,vrnach,vancef,ban,yanzem,oh,aha,vons,nabrah,,,,,,,,,,,
,e,vh,asmo,drat,vormez,al,pasquar,no,gems,nah,zem,,,,,,,,,,
,f,lasquith,apsantah,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27,a,vol,zans,alphi,ne,gansad,ol,pam,ro,dah,vor,vngef,a,deoh,,,,,,,
,b,nad,vnsemel,apodmacah,vnsap,val,vndar,ban,cefna,dux,,,,,,,,,,,
,c,hansel,yax,nolpah,volts,quayntah,gam,vemneg,oh,asq,,,,,,,,,,,
,d,al,panst,ans,vntah,hunsansa,apndad,ratq,a,sanst,nel,,,,,,,,,,
,e,odogamanazar,olzah,guh,oh,nah,varsa,vpangah,neoh,aho,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28,a,notgah,ox,vr,auonsad,vl,dath,nox,lat,ges,orn,val,,,,,,,,,
,b,sedcoh,leth,arney,vas,ars,galep,odampha,nol,axar,vox,,,,,,,,,,
,c,apracas,nolph,admi,adpalsah,noh,vrh,gednach,vax,,,,,,,,,,,,
,d,varsablox,vrdam,pagel,admax,lor,vamtage,oxandah,,,,,,,,,,,,,
,e,lamfo,not,vorsah,axpaa,ols,nugaphar,adras,vxar,,,,,,,,,,,,
,f,nostrilgan,ampacoh,vortes,lesqual,exoh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29,a,ses,vah,nomre,gal,sables,orzah,get,les,part,ox,ar,se,,,,,,,,
,b,de,colmachu,ardeh,lox,gempha,lar,vamra,goh,naxa,,,,,,,,,,,
,c,vors,admah,gebah,semfugel,adma,geod,alzeh,orzam,,,,,,,,,,,,
,d,vanchet,oxam,prah,geh,orzad,val,nexo,vam,seleph,,,,,,,,,,,
,e,oxa,noha,par,gumsah,askeph,nox,adroh,lestof,ad,moxa,,,,,,,,,,
,f,nonsurrach,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30,a,vomchal,as,pu,gan,san,var,sem,quah,lah,set,,,,,,,,,,
,b,gedoh,argli,oranza,vor,zina,sedcatah,zurehoh,admich,,,,,,,,,,,,
,c,ors,arsah,varsab,oliba,vortes,lunsanfah,adnah,vor,,,,,,,,,,,,
,d,semquax,vorsan,lap,varsah,gebdah,voxlar,geoh,gemfel,,,,,,,,,,,,
,e,ad,gvns,aldah,gor,vanlah,gehudan,vor,sableth,gedvel,,,,,,,,,,,
,f,ax,ors,manch,var,sembloh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
31,a,ar,dam,fa,ge,do,hah,luxh,arcan,mans,lubrah,vor,,,,,,,,,
,b,semblas,adna,gor,partat,nor,vilso,adchu,apri,sed,amphle,,,,,,,,,,
,c,nox,arua,getol,vor,sambla,geth,arse,pax,vor,sah,gelh,aho,,,,,,,,
,d,gethmah,or,gemfa,nah,prax,chilad,ascham,na,prah,oxah,,,,,,,,,,
,e,var,setqua,lexoh,vor,sambleh,zubrah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
32,a,lax,or,setquah,vah,lox,remah,nol,sadma,vort,famfa,,,,,,,,,,
,b,le,gem,nah,or,sepah,vartef,a,geh,oha,lon,gaza,onsa,ges,,,,,,,
,c,adrux,vombalzah,ah,vaxtal,noh,sedo,lam,vom,,,,,,,,,,,,
,d,tantas,oxarzah,mechol,va,zebn,geth,adna,vax,ormacha,,,,,,,,,,,
,e,lorni,adrah,gens,arnah,vor,arsad,odicoh,alida,nepho,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
33,a,hastan,bah,ges,loh,ru,mal,vrabo,den,arsah,mah,vox,,,,,,,,,
,b,idah,ru,gebna,demphe,ors,amvi,ar,genba,oxad,va,ges,,,,,,,,,
,c,leth,vriop,nal,pas,vi,me,ro,to,adnavah,ged,anse,lah,,,,,,,,
,d,verbrod,vn,gelpa,lux,ard,do,ah,vast,vor,gemafanoh,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
34,a,amles,ondandaha,noxt,vradah,gel,nubrod,arb,a,cha,,,,,,,,,,,
,b,lo,pe,go,ha,pa,ra,zem,che,par,ma,la,na,bura,doh,gem,la,pa,lo,,
,c,orzin,fax,nol,ad,micapar,vo,si,pi,ca,la,ton,andrah,vox,,,,,,,
,d,ardno,get,na,ca,ploh,galzun,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
35,a,or,ge,mah,luza,ca,poh,nox,trah,vioxah,nebo,hu,ge,o,mi,lah,,,,,
,b,cox,cha,dah,or,na,hu,da,vol,sa,pah,no,bro,ch,al,pa,,,,,
,c,chidomph,nab,la,grux,la,vx,ar,ga,fam,gel,ne,do,ga,lah,,,,,,
,d,vo,sa,pah,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
36,a,gu,la,ge,dop,ax,ix,ox,a,max,lun,sa,gem,pah,orsa,devlmah,,,,,
,b,ge,pa,cha,vor,si,ma,coh,alduth,gempfa,nox,gal,max,,,,,,,,
,c,ar,hu,gaf,gli,no,rob,va,gen,la,car,du,zum,ox,am,pli,zam,,,,
,d,zu,latmah,ge,ge,ma,ohahah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
37,a,ga,la,pa,drux,vax,ma,geb,la,geb,or,che,plon,gan,zed,ah,,,,,
,b,vox,ar,vox,gelet,ar,gahad,gan,pa,gan,doruminaplah,,,,,,,,,,
,c,vor,zinach,cu,pa,chef,ardrah,ox,ox,pol,sa,gal,max,nah,,,,,,,
,d,guth,ardeth,on,zupra,cro,cro,gah,var,sa,ma,nal,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
38,a,ar,sa,ba,cho,as,noh,al,geh,oh,ax,ar,pa,gal,olza,deh,,,,,
,b,or,za,zu,max,exoh,eh,or,cah,pal,donzaha,onza,,,,,,,,,
,c,zethas,nor,sap,se,pah,onzap,a,palmah,aldoh,voh,,,,,,,,,,
,d,nablebah,gemnapam,os,malsa,or,naoh,zar,bu,lagem,pah,,,,,,,,,,
,e,neo,ha,brah,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
39,a,tal,gep,ar,sep,nah,doh,vors,alsa,doh,necoh,am,ar,geth,,,,,,,
,b,na,ges,alpran,odox,malsapnah,gohor,ahoh,gadmah,,,,,,,,,,,,
,c,ol,daneph,aludar,donzagab,olsagah,nebthuh,or,,,,,,,,,,,,,
,d,sapnar,balgonph,nep,gemloh,ax,amna,duth,,,,,,,,,,,,,
,e,achar,laspa,voha,naxvolh,gas,vergol,ah,pratnom,,,,,,,,,,,,
,f,gea,nostuamph,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40,a,van,sa,pal,sah,go,so,gon,ge,la,bu,ra,doh,tato,lang,,,,,,
,b,ge,me,fe,ran,on,da,pans,ge,la,brah,or,pa,ge,mal,,,,,,
,c,on,san,fan,gen,olc,ma,cha,lan,von,se,gor,a,pri,cas,,,,,,
,d,nor,va,gel,om,bra,cau,cohadal,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
41,,adros,a,clodfac,dogepnah,lapcah,mocdacode,famon,tualc,dom,,,,,,,,,,,
42,,vrasnageph,amphidon,gansel,vax,orehamah,vorsafansa,ucas,,,,,,,,,,,,,
43,,damifagan,nabulax,orsageh,namvah,ocar,lunsangel,carpacoa,,,,,,,,,,,,,
44,,lunsemneph,odarnachoh,zembloh,oblicandon,galsorxvlaga,,,,,,,,,,,,,,,
45,,fomnaph,apansageh,lonsugalan,grast,vblanso,arnox,vonsao,,,,,,,,,,,,,
46,,taltemaphech,ormachadagenox,vrstamvah,nadvareh,ons,arg,,,,,,,,,,,,,,
47,,zucanzu,napliorah,norge,hahanaha,vsplah,gradunvah,navic,,,,,,,,,,,,,
48,,arsah,vonrogen,dahvalah,orzap,cvl,carsed,a,porsal,qastava,,,,,,,,,,,
49,,ganfumarabomonah,gastages,ordolph,naqas,orgemvah,noxad,,,,,,,,,,,,,,
